datetime;open;high;low;close;volume
2026-04-29 15:35:00;1073.60999;1073.65002;1070.00012207;1071.14001;52985
2026-04-29 15:30:00;1073.37000;1075.89001;1069.95496;1072.33374;75529
2026-04-29 15:25:00;1071.5;1076.98987;1071.012329;1074.48999;152284
2026-04-29 15:20:00;1070.52979;1072.47986;1060;1071.29004;227958
2026-04-29 15:15:00;1078.34998;1079.77002;1070.44727;1071.5;124985
2026-04-29 15:10:00;1077.45996;1078.84998;1075.875;1077.81006;46396
2026-04-29 15:05:00;1078.010010;1080.70996;1074.51001;1077.59998;85779
2026-04-29 15:00:00;1080.30005;1081.89990;1077.24011;1079.68994;57215
2026-04-29 14:55:00;1077.23499;1082.49988;1076.65051;1080.21997;83071
2026-04-29 14:50:00;1075.44006;1079.44348;1075.44006;1076.82495;60296
2026-04-29 14:45:00;1072.040039;1076.97998;1071.010010;1076.27502;56419
2026-04-29 14:40:00;1075.79004;1076.48999;1071;1071.86499;84771
2026-04-29 14:35:00;1075.66003;1081.73987;1075.66003;1076.39502;71163
2026-04-29 14:30:00;1077.78503;1077.79150;1073.12000;1075.18005;61123
2026-04-29 14:25:00;1080;1080.93994;1077.43115;1077.79004;64456
2026-04-29 14:20:00;1074.44995;1081;1073.31958;1080.93994;79558
2026-04-29 14:15:00;1072.92505;1076.64001;1071.19995;1074.060059;88325
2026-04-29 14:10:00;1073.79004;1074.79004;1071.030151;1073.47998;62859
2026-04-29 14:05:00;1069;1077;1069;1073.32495;90505
2026-04-29 14:00:00;1074.44531;1074.49976;1066.55750;1068.030029;52826
2026-04-29 13:55:00;1069;1072.54895;1068.21997;1072.54895;53770
2026-04-29 13:50:00;1067.91504;1069.73987;1066.50610;1069;48130
2026-04-29 13:45:00;1065.25;1068.39990;1064.17004;1068.060059;68968
2026-04-29 13:40:00;1069.39001;1069.55005;1064.17004;1065.21997;69457
2026-04-29 13:35:00;1067.19995;1071.76990;1066.00012207;1068.84851;71206
2026-04-29 13:30:00;1069.14001;1069.88989;1065.26001;1066.93005;75172
2026-04-29 13:25:00;1072.32007;1072.57007;1066.31006;1068.51355;130803
2026-04-29 13:20:00;1075.15002;1075.94336;1071.5;1072.38000;64493
2026-04-29 13:15:00;1075;1077.46997;1073.47998;1074.95996;40524
2026-04-29 13:10:00;1076.5;1077.45996;1072.41016;1075.5;61732
2026-04-29 13:05:00;1074.85010;1078.17993;1074.55005;1076.63000;43389
2026-04-29 13:00:00;1077.19495;1078.54639;1072.81995;1075.58997;63576
2026-04-29 12:55:00;1079.57996;1081.030029;1075.00012207;1077.30554;54804
2026-04-29 12:50:00;1080.089966;1083.87708;1079.24011;1080.37000;51371
2026-04-29 12:45:00;1079.53503;1081.74988;1078.00012207;1080.125;57092
2026-04-29 12:40:00;1077.64001;1080.72119;1077.12012;1079.25500;58322
2026-04-29 12:35:00;1077.17920;1077.63989;1074.010132;1077.094971;41207
2026-04-29 12:30:00;1077.65002;1079.23999;1073.77014;1076.26001;59916
2026-04-29 12:25:00;1076.49011;1079.60986;1073.67004;1077.95496;60843
2026-04-29 12:20:00;1076;1077.52991;1073.42004;1077.10901;117591
2026-04-29 12:15:00;1082.16504;1083.44055;1076.099976;1076.19397;107676
2026-04-29 12:10:00;1084.32495;1086.089233;1080.50012;1082.12000;73175
2026-04-29 12:05:00;1083.59998;1086.47986;1083;1084.32495;57159
2026-04-29 12:00:00;1087.53003;1087.77307;1083.69995;1084.30005;55997
2026-04-29 11:55:00;1085.61597;1088.20996;1083.50012;1087.36353;65574
2026-04-29 11:50:00;1089.27002;1089.72998;1083.030029;1085.66003;104470
2026-04-29 11:45:00;1091.42004;1093.40002;1087.91504;1089.020020;68548
2026-04-29 11:40:00;1095.48999;1096.80994;1090;1090.97498;76075
2026-04-29 11:35:00;1092.5;1095.60999;1091.00012207;1094.82996;91347
2026-04-29 11:30:00;1087.65002;1092.30005;1087;1092;60567
2026-04-29 11:25:00;1090.40002;1091.82166;1085.77002;1086.97961;65520
2026-04-29 11:20:00;1091.44995;1094;1089.020020;1089.70996;65411
2026-04-29 11:15:00;1089.079956;1092;1085.54504;1091.39001;73598
2026-04-29 11:10:00;1086.55005;1091;1084.19116;1090.11499;121675
2026-04-29 11:05:00;1088.16504;1089.68005;1086.099976;1086.46997;106886
2026-04-29 11:00:00;1094.53003;1097.28003;1087.5;1088.61804;162164
2026-04-29 10:55:00;1097.079956;1099.49988;1093.044312;1093.41003;110659
2026-04-29 10:50:00;1090.65308;1099.49988;1088.63635;1097.56482;216870
2026-04-29 10:45:00;1089;1093.44995;1089;1090.15002;76686
2026-04-29 10:40:00;1092.33997;1092.33997;1087.10999;1088.50952;89272
2026-04-29 10:35:00;1089.25;1094.49988;1088;1092.5;105462
2026-04-29 10:30:00;1087.010010;1094.24988;1085;1090.010010;143599
2026-04-29 10:25:00;1086.95996;1091.5;1086;1086.64001;144883
2026-04-29 10:20:00;1084.51514;1089;1082.5;1086.49500;104717
