datetime,open,high,low,close,volume
2026-03-05 09:49:00,594.535,596.98,594.0201,595.87,81095.296229
2026-03-05 09:50:00,596.3,598.97,595.9801,598.735,54982.860841
2026-03-05 09:51:00,598.5168,600.51,598.06,599.065,66766.404044
2026-03-05 09:52:00,599.09,599.2,595.2001,597.35,102217.81589
2026-03-05 09:53:00,597.3555,597.395,595,596.4,39911.698291
2026-03-05 09:54:00,596.4,597.7499,595,597.095,102066.148927
2026-03-05 09:55:00,596.8875,598.7999,596.5601,598.345,23011.915854
2026-03-05 09:56:00,598.34,601.3,597.8301,598.995,68910.218725
2026-03-05 09:57:00,598.995,601.85,598.98,601.6899,50402.884347
2026-03-05 09:58:00,601.24,602.3,600.5,600.84,53921.349241
2026-03-05 09:59:00,600.925,601.36,595.24,596.125,68982.727787
2026-03-05 10:00:00,596.125,599,595.611,596.7,60759.359635
2026-03-05 10:01:00,597.245,598.47,596.74,597.35,43318.280621
2026-03-05 10:02:00,598,598.47,595.37,596.105,36659.861618
2026-03-05 10:03:00,595.74,597.4799,595.74,596.51,16176.104878
2026-03-05 10:04:00,596.5001,598.7999,596.5001,598.3051,26535.14409
2026-03-05 10:05:00,598.61,598.8,597,597.55,17899.436557
2026-03-05 10:06:00,597.9999,599.49,597.335,598.38,22462.403466
2026-03-05 10:07:00,598.9799,599.17,597.0101,597.89,18822.77756
2026-03-05 10:08:00,597.5,598.9,596.5,598.35,23726.714588
2026-03-05 10:09:00,598.35,601.48,597.53,600.17,48467.503811
2026-03-05 10:10:00,600.3171,601.78,599.45,600,46848.012899
2026-03-05 10:11:00,599.91,601.4999,598.2001,599.755,40366.078192
2026-03-05 10:12:00,599.75,601.15,598.2,598.585,31406.460618
2026-03-05 10:13:00,598.585,600.2,598,600.2,22593.593688
2026-03-05 10:14:00,600.4487,600.9999,597.2701,598.3811,52678.386571
2026-03-05 10:15:00,598.255,598.4317,596.1,597.95,42024.677618
2026-03-05 10:16:00,597.61,598.1999,595.46,597.29,39975.995847
2026-03-05 10:17:00,597.29,597.5,594.32,595.625,36003.773128
2026-03-05 10:18:00,595.51,596.14,594.3901,595.05,24971.818455
2026-03-05 10:19:00,595.29,595.29,593.29,593.745,35990.375253
2026-03-05 10:20:00,593.5,594.5999,592.5201,593.4371,55765.015785
2026-03-05 10:21:00,593,595,592.55,593.2,37974.108719
2026-03-05 10:22:00,593,593.69,590.67,591.5,50452.357557
2026-03-05 10:23:00,591.5,592.47,590.5101,590.8151,38571.453554
2026-03-05 10:24:00,590.88,591.03,588.8001,589.375,108680.579018
2026-03-05 10:25:00,589.3001,591.9999,589.3,591.01,54776.085261
2026-03-05 10:26:00,591.296,591.5299,590.01,590.25,29575.340978
2026-03-05 10:27:00,590,590.9899,589.2201,590.07,44743.09676
2026-03-05 10:28:00,590.275,592.0999,590.2,591.58,37014.492238
2026-03-05 10:29:00,591.4398,591.88,590.5001,591.44,25440.089877
2026-03-05 10:30:00,591.33,591.7,585.45,586.15,133994.840691
2026-03-05 10:31:00,585.725,586.7033,584.49,585.3899,151750.97493
2026-03-05 10:32:00,585,587.3499,584.59,586.2901,52993.578287
2026-03-05 10:33:00,586.29,588.59,586.29,586.975,57298.897095
2026-03-05 10:34:00,587.05,588.69,587.05,587.82,39245.139983
2026-03-05 10:35:00,587.84,588.99,586.46,588.99,35227.085061
2026-03-05 10:36:00,588.96,590.49,587.0001,587.845,40330.082769
2026-03-05 10:37:00,588.5,592.9738,587.895,592.13,63901.203862
2026-03-05 10:38:00,592.47,593.61,591.8201,593,54615.787793
2026-03-05 10:39:00,593.01,593.8,592.13,592.37,44314.10788
2026-03-05 10:40:00,592.37,593.99,592.042,592.792,32963.733868
2026-03-05 10:41:00,592.4001,593.09,590.5001,590.94,43165.765501
2026-03-05 10:42:00,590.985,591.3889,588,590.88,61574.581695
2026-03-05 10:43:00,590.7423,591.0175,588.73,589.68,31741.31552
2026-03-05 10:44:00,589.93,591.41,589.09,590.475,21487.790697
2026-03-05 10:45:00,590,591.02,588.89,589.4095,20856.035628
2026-03-05 10:46:00,588.6501,590.28,588,589.6855,19780.99923
2026-03-05 10:47:00,590.49,590.66,589.2,589.2,12944.306345
2026-03-05 10:48:00,589,591.56,588.56,590.78,25832.998904
2026-03-05 10:49:00,590.78,591.5,589.5,590.43,25744.555254
2026-03-05 10:50:00,590.86,593,590,593,35687.011935
2026-03-05 10:51:00,593.23,594.39,592.2001,593.93,45519.760607
2026-03-05 10:52:00,593.845,594.15,592.5,592.9744,20991.046851
2026-03-05 10:53:00,593.0001,594.4899,592.37,593.78,30223.504595
2026-03-05 10:54:00,594.5,596.17,593.62,595.01,38239.591782
2026-03-05 10:55:00,594.97,596.7999,594.8125,595.875,29827.864872
2026-03-05 10:56:00,596,596.125,593.4001,594.5,28376.039561
2026-03-05 10:57:00,594.5,596,594.4875,595.245,22148.511322
2026-03-05 10:58:00,594.91,595.54,594.3988,595.025,15542.825874
2026-03-05 10:59:00,595.44,595.7,594.14,594.34,14364.827789
2026-03-05 11:00:00,594.08,594.08,592.6,592.66,24911.401963
2026-03-05 11:01:00,592.45,593.52,592.45,592.73,21950.379852
2026-03-05 11:02:00,593.0601,593.0601,590.63,590.93,32187.542464
2026-03-05 11:03:00,590.73,591.95,590.5,591.135,18053.556282
2026-03-05 11:04:00,591,591.34,589.0001,590.675,64231.8097
2026-03-05 11:05:00,590.495,591.4999,590.16,591.175,20196.231902
